tales	similarity (overlap of top 10 nouns)
('2. Katze und Maus in Gesellschaft .', '26. Rothkäppchen .')	2
('2. Katze und Maus in Gesellschaft .', '44. Der Gevatter Tod .')	2
('2. Katze und Maus in Gesellschaft .', '49. Die sechs Schwäne .')	2
('2. Katze und Maus in Gesellschaft .', '50. Dornröschen .')	2
('2. Katze und Maus in Gesellschaft .', '70. Die drei Glückskinder .')	2
('3. Marienkind .', '11. Brüderchen und Schwesterchen .')	2
('3. Marienkind .', '13. Die drei Männlein im Walde .')	2
('3. Marienkind .', '25. Die sieben Raben .')	2
('3. Marienkind .', '31. Das Mädchen ohne Hände .')	2
('3. Marienkind .', '35. Der Schneider im Himmel .')	2
('3. Marienkind .', '43. Frau Trude .')	2
('3. Marienkind .', '53. Sneewittchen .')	2
('3. Marienkind .', '56. Der Liebste Roland .')	2
('3. Marienkind .', '76. Die Nelke .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '9. Die zwölf Brüder .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '13. Die drei Männlein im Walde .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '16. Die drei Schlangenblätter .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '19. Von dem Fischer un syner Fru .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '20. Das tapfere Schneiderlein .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '37. Daumesdick .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '55. Rumpelstilzchen .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', '64. Die goldene Gans .')	2
('4. Mährchen von einem , der auszog das Fürchten zu lernen .', 'full corpus')	2
('5. Der Wolf und die sieben jungen Geislein .', '6. Der treue Johannes .')	2
('5. Der Wolf und die sieben jungen Geislein .', '11. Brüderchen und Schwesterchen .')	2
('5. Der Wolf und die sieben jungen Geislein .', '15. Hänsel und Grethel .')	2
('5. Der Wolf und die sieben jungen Geislein .', '20. Das tapfere Schneiderlein .')	2
('5. Der Wolf und die sieben jungen Geislein .', '49. Die sechs Schwäne .')	2
('5. Der Wolf und die sieben jungen Geislein .', 'full corpus')	2
('6. Der treue Johannes .', '11. Brüderchen und Schwesterchen .')	2
('6. Der treue Johannes .', '17. Die weiße Schlange .')	2
('6. Der treue Johannes .', '31. Das Mädchen ohne Hände .')	2
('6. Der treue Johannes .', '49. Die sechs Schwäne .')	2
('6. Der treue Johannes .', '52. König Drosselbart .')	2
('6. Der treue Johannes .', '62. Die Bienenkönigin .')	2
('6. Der treue Johannes .', '67. Die zwölf Jäger .')	2
('6. Der treue Johannes .', '71. Sechse kommen durch die ganze Welt .')	2
('6. Der treue Johannes .', 'full corpus')	2
('7. Der gute Handel .', '33. Die drei Sprachen .')	2
('7. Der gute Handel .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('8. Der wunderliche Spielmann .', '15. Hänsel und Grethel .')	2
('8. Der wunderliche Spielmann .', '20. Das tapfere Schneiderlein .')	2
('8. Der wunderliche Spielmann .', '40. Der Räuberbräutigam .')	2
('8. Der wunderliche Spielmann .', '49. Die sechs Schwäne .')	2
('8. Der wunderliche Spielmann .', '64. Die goldene Gans .')	2
('8. Der wunderliche Spielmann .', '73. Der Wolf und der Fuchs .')	2
('8. Der wunderliche Spielmann .', '75. Der Fuchs und die Katze .')	2
('9. Die zwölf Brüder .', '11. Brüderchen und Schwesterchen .')	2
('9. Die zwölf Brüder .', '15. Hänsel und Grethel .')	2
('9. Die zwölf Brüder .', '20. Das tapfere Schneiderlein .')	2
('9. Die zwölf Brüder .', '21. Aschenbuttel .')	2
('9. Die zwölf Brüder .', '25. Die sieben Raben .')	2
('9. Die zwölf Brüder .', '40. Der Räuberbräutigam .')	2
('9. Die zwölf Brüder .', '43. Frau Trude .')	2
('9. Die zwölf Brüder .', '48. Der alte Sultan .')	2
('9. Die zwölf Brüder .', '50. Dornröschen .')	2
('9. Die zwölf Brüder .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('9. Die zwölf Brüder .', '55. Rumpelstilzchen .')	2
('9. Die zwölf Brüder .', '56. Der Liebste Roland .')	2
('9. Die zwölf Brüder .', '64. Die goldene Gans .')	2
('9. Die zwölf Brüder .', 'full corpus')	2
('10. Das Lumpengesindel .', '58. Der Hund und der Sperling .')	2
('11. Brüderchen und Schwesterchen .', '15. Hänsel und Grethel .')	2
('11. Brüderchen und Schwesterchen .', '28. Der singende Knochen .')	2
('11. Brüderchen und Schwesterchen .', '48. Der alte Sultan .')	2
('11. Brüderchen und Schwesterchen .', '52. König Drosselbart .')	2
('11. Brüderchen und Schwesterchen .', '53. Sneewittchen .')	2
('11. Brüderchen und Schwesterchen .', '55. Rumpelstilzchen .')	2
('11. Brüderchen und Schwesterchen .', '67. Die zwölf Jäger .')	2
('11. Brüderchen und Schwesterchen .', '79. Die Wassernixe .')	2
('12. Rapunzel .', '13. Die drei Männlein im Walde .')	2
('12. Rapunzel .', '15. Hänsel und Grethel .')	2
('12. Rapunzel .', '19. Von dem Fischer un syner Fru .')	2
('12. Rapunzel .', '20. Das tapfere Schneiderlein .')	2
('12. Rapunzel .', '29. Der Teufel mit den drei goldenen Haaren .')	2
('12. Rapunzel .', '31. Das Mädchen ohne Hände .')	2
('12. Rapunzel .', '39. Die Wichtelmänner .')	2
('12. Rapunzel .', '42. Der Herr Gevatter .')	2
('12. Rapunzel .', '44. Der Gevatter Tod .')	2
('12. Rapunzel .', '48. Der alte Sultan .')	2
('12. Rapunzel .', '49. Die sechs Schwäne .')	2
('12. Rapunzel .', '52. König Drosselbart .')	2
('12. Rapunzel .', '76. Die Nelke .')	2
('12. Rapunzel .', '78. Der alte Großvater und der Enkel .')	2
('13. Die drei Männlein im Walde .', '16. Die drei Schlangenblätter .')	2
('13. Die drei Männlein im Walde .', '24. Frau Holle .')	2
('13. Die drei Männlein im Walde .', '26. Rothkäppchen .')	2
('13. Die drei Männlein im Walde .', '30. Läuschen und Flöhchen .')	2
('13. Die drei Männlein im Walde .', '34. Die kluge Else .')	2
('13. Die drei Männlein im Walde .', '37. Daumesdick .')	2
('13. Die drei Männlein im Walde .', '39. Die Wichtelmänner .')	2
('13. Die drei Männlein im Walde .', '42. Der Herr Gevatter .')	2
('13. Die drei Männlein im Walde .', '48. Der alte Sultan .')	2
('13. Die drei Männlein im Walde .', '49. Die sechs Schwäne .')	2
('13. Die drei Männlein im Walde .', '52. König Drosselbart .')	2
('13. Die drei Männlein im Walde .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('13. Die drei Männlein im Walde .', '55. Rumpelstilzchen .')	2
('13. Die drei Männlein im Walde .', '59. Der Frieder und das Catherlieschen .')	2
('13. Die drei Männlein im Walde .', '61. Das Bürle .')	2
('13. Die drei Männlein im Walde .', '78. Der alte Großvater und der Enkel .')	2
('14. Die drei Spinnerinnen .', '32. Der gescheidte Hans .')	2
('14. Die drei Spinnerinnen .', '49. Die sechs Schwäne .')	2
('14. Die drei Spinnerinnen .', '50. Dornröschen .')	2
('14. Die drei Spinnerinnen .', '55. Rumpelstilzchen .')	2
('15. Hänsel und Grethel .', '20. Das tapfere Schneiderlein .')	2
('15. Hänsel und Grethel .', '25. Die sieben Raben .')	2
('15. Hänsel und Grethel .', '27. Die Bremer Stadtmusikanten .')	2
('15. Hänsel und Grethel .', '31. Das Mädchen ohne Hände .')	2
('15. Hänsel und Grethel .', '34. Die kluge Else .')	2
('15. Hänsel und Grethel .', '43. Frau Trude .')	2
('15. Hänsel und Grethel .', '45. Daumerlings Wanderschaft .')	2
('15. Hänsel und Grethel .', '51. Fundevogel .')	2
('15. Hänsel und Grethel .', '56. Der Liebste Roland .')	2
('15. Hänsel und Grethel .', '78. Der alte Großvater und der Enkel .')	2
('16. Die drei Schlangenblätter .', '19. Von dem Fischer un syner Fru .')	2
('16. Die drei Schlangenblätter .', '20. Das tapfere Schneiderlein .')	2
('16. Die drei Schlangenblätter .', '31. Das Mädchen ohne Hände .')	2
('16. Die drei Schlangenblätter .', '34. Die kluge Else .')	2
('16. Die drei Schlangenblätter .', '39. Die Wichtelmänner .')	2
('16. Die drei Schlangenblätter .', '43. Frau Trude .')	2
('16. Die drei Schlangenblätter .', '45. Daumerlings Wanderschaft .')	2
('16. Die drei Schlangenblätter .', '49. Die sechs Schwäne .')	2
('16. Die drei Schlangenblätter .', '50. Dornröschen .')	2
('16. Die drei Schlangenblätter .', '63. Die drei Federn .')	2
('16. Die drei Schlangenblätter .', '65. Allerleirauh .')	2
('16. Die drei Schlangenblätter .', '67. Die zwölf Jäger .')	2
('16. Die drei Schlangenblätter .', '71. Sechse kommen durch die ganze Welt .')	2
('16. Die drei Schlangenblätter .', '76. Die Nelke .')	2
('16. Die drei Schlangenblätter .', '85. Die Goldkinder .')	2
('17. Die weiße Schlange .', '22. Das Räthsel .')	2
('19. Von dem Fischer un syner Fru .', '29. Der Teufel mit den drei goldenen Haaren .')	2
('19. Von dem Fischer un syner Fru .', '34. Die kluge Else .')	2
('19. Von dem Fischer un syner Fru .', '37. Daumesdick .')	2
('19. Von dem Fischer un syner Fru .', '39. Die Wichtelmänner .')	2
('19. Von dem Fischer un syner Fru .', '52. König Drosselbart .')	2
('19. Von dem Fischer un syner Fru .', '64. Die goldene Gans .')	2
('19. Von dem Fischer un syner Fru .', '78. Der alte Großvater und der Enkel .')	2
('19. Von dem Fischer un syner Fru .', 'full corpus')	2
('20. Das tapfere Schneiderlein .', '29. Der Teufel mit den drei goldenen Haaren .')	2
('20. Das tapfere Schneiderlein .', '34. Die kluge Else .')	2
('20. Das tapfere Schneiderlein .', '37. Daumesdick .')	2
('20. Das tapfere Schneiderlein .', '39. Die Wichtelmänner .')	2
('20. Das tapfere Schneiderlein .', '48. Der alte Sultan .')	2
('20. Das tapfere Schneiderlein .', '52. König Drosselbart .')	2
('20. Das tapfere Schneiderlein .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('20. Das tapfere Schneiderlein .', '75. Der Fuchs und die Katze .')	2
('20. Das tapfere Schneiderlein .', '78. Der alte Großvater und der Enkel .')	2
('20. Das tapfere Schneiderlein .', '85. Die Goldkinder .')	2
('21. Aschenbuttel .', '22. Das Räthsel .')	2
('21. Aschenbuttel .', '67. Die zwölf Jäger .')	2
('22. Das Räthsel .', '50. Dornröschen .')	2
('22. Das Räthsel .', '55. Rumpelstilzchen .')	2
('22. Das Räthsel .', '67. Die zwölf Jäger .')	2
('22. Das Räthsel .', '71. Sechse kommen durch die ganze Welt .')	2
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '69. Jorinde und Joringel .')	2
('24. Frau Holle .', '26. Rothkäppchen .')	2
('24. Frau Holle .', '40. Der Räuberbräutigam .')	2
('24. Frau Holle .', '55. Rumpelstilzchen .')	2
('24. Frau Holle .', '56. Der Liebste Roland .')	2
('24. Frau Holle .', '79. Die Wassernixe .')	2
('25. Die sieben Raben .', '37. Daumesdick .')	2
('25. Die sieben Raben .', '44. Der Gevatter Tod .')	2
('25. Die sieben Raben .', '56. Der Liebste Roland .')	2
('25. Die sieben Raben .', '67. Die zwölf Jäger .')	2
('26. Rothkäppchen .', '27. Die Bremer Stadtmusikanten .')	2
('26. Rothkäppchen .', '43. Frau Trude .')	2
('26. Rothkäppchen .', '51. Fundevogel .')	2
('26. Rothkäppchen .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('26. Rothkäppchen .', '59. Der Frieder und das Catherlieschen .')	2
('26. Rothkäppchen .', '69. Jorinde und Joringel .')	2
('26. Rothkäppchen .', '85. Die Goldkinder .')	2
('27. Die Bremer Stadtmusikanten .', '41. Herr Korbes .')	2
('27. Die Bremer Stadtmusikanten .', '48. Der alte Sultan .')	2
('27. Die Bremer Stadtmusikanten .', '75. Der Fuchs und die Katze .')	2
('28. Der singende Knochen .', '48. Der alte Sultan .')	2
('28. Der singende Knochen .', '53. Sneewittchen .')	2
('28. Der singende Knochen .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	2
('28. Der singende Knochen .', '60. Die zwei Brüder .')	2
('28. Der singende Knochen .', '62. Die Bienenkönigin .')	2
('28. Der singende Knochen .', '63. Die drei Federn .')	2
('28. Der singende Knochen .', '64. Die goldene Gans .')	2
('28. Der singende Knochen .', '76. Die Nelke .')	2
('29. Der Teufel mit den drei goldenen Haaren .', '31. Das Mädchen ohne Hände .')	2
('29. Der Teufel mit den drei goldenen Haaren .', '52. König Drosselbart .')	2
('29. Der Teufel mit den drei goldenen Haaren .', '61. Das Bürle .')	2
('31. Das Mädchen ohne Hände .', '34. Die kluge Else .')	2
('31. Das Mädchen ohne Hände .', '37. Daumesdick .')	2
('31. Das Mädchen ohne Hände .', '48. Der alte Sultan .')	2
('31. Das Mädchen ohne Hände .', '53. Sneewittchen .')	2
('31. Das Mädchen ohne Hände .', '61. Das Bürle .')	2
('31. Das Mädchen ohne Hände .', '63. Die drei Federn .')	2
('31. Das Mädchen ohne Hände .', '84. Hans heirathet .')	2
('34. Die kluge Else .', '38. Die Hochzeit der Frau Füchsin .')	2
('34. Die kluge Else .', '39. Die Wichtelmänner .')	2
('34. Die kluge Else .', '43. Frau Trude .')	2
('34. Die kluge Else .', '44. Der Gevatter Tod .')	2
('34. Die kluge Else .', '48. Der alte Sultan .')	2
('34. Die kluge Else .', '52. König Drosselbart .')	2
('34. Die kluge Else .', '56. Der Liebste Roland .')	2
('34. Die kluge Else .', '58. Der Hund und der Sperling .')	2
('34. Die kluge Else .', '59. Der Frieder und das Catherlieschen .')	2
('34. Die kluge Else .', '78. Der alte Großvater und der Enkel .')	2
('37. Daumesdick .', '38. Die Hochzeit der Frau Füchsin .')	2
('37. Daumesdick .', '39. Die Wichtelmänner .')	2
('37. Daumesdick .', '42. Der Herr Gevatter .')	2
('37. Daumesdick .', '43. Frau Trude .')	2
('37. Daumesdick .', '44. Der Gevatter Tod .')	2
('37. Daumesdick .', '45. Daumerlings Wanderschaft .')	2
('37. Daumesdick .', '48. Der alte Sultan .')	2
('37. Daumesdick .', '52. König Drosselbart .')	2
('37. Daumesdick .', '68. De Gaudeif un sien Meester .')	2
('38. Die Hochzeit der Frau Füchsin .', '45. Daumerlings Wanderschaft .')	2
('38. Die Hochzeit der Frau Füchsin .', '73. Der Wolf und der Fuchs .')	2
('38. Die Hochzeit der Frau Füchsin .', '74. Der Fuchs und die Frau Gevatterin .')	2
('39. Die Wichtelmänner .', '52. König Drosselbart .')	2
('39. Die Wichtelmänner .', 'full corpus')	2
('40. Der Räuberbräutigam .', '43. Frau Trude .')	2
('40. Der Räuberbräutigam .', '51. Fundevogel .')	2
('40. Der Räuberbräutigam .', '56. Der Liebste Roland .')	2
('40. Der Räuberbräutigam .', '85. Die Goldkinder .')	2
('40. Der Räuberbräutigam .', 'full corpus')	2
('41. Herr Korbes .', '80. Von dem Tode des Hühnchens .')	2
('42. Der Herr Gevatter .', '43. Frau Trude .')	2
('42. Der Herr Gevatter .', '48. Der alte Sultan .')	2
('42. Der Herr Gevatter .', '56. Der Liebste Roland .')	2
('42. Der Herr Gevatter .', '58. Der Hund und der Sperling .')	2
('42. Der Herr Gevatter .', '71. Sechse kommen durch die ganze Welt .')	2
('42. Der Herr Gevatter .', '76. Die Nelke .')	2
('42. Der Herr Gevatter .', 'full corpus')	2
('43. Frau Trude .', '44. Der Gevatter Tod .')	2
('43. Frau Trude .', '50. Dornröschen .')	2
('43. Frau Trude .', '52. König Drosselbart .')	2
('43. Frau Trude .', '56. Der Liebste Roland .')	2
('43. Frau Trude .', '59. Der Frieder und das Catherlieschen .')	2
('44. Der Gevatter Tod .', '71. Sechse kommen durch die ganze Welt .')	2
('44. Der Gevatter Tod .', '74. Der Fuchs und die Frau Gevatterin .')	2
('44. Der Gevatter Tod .', 'full corpus')	2
('45. Daumerlings Wanderschaft .', '48. Der alte Sultan .')	2
('45. Daumerlings Wanderschaft .', '60. Die zwei Brüder .')	2
('45. Daumerlings Wanderschaft .', '78. Der alte Großvater und der Enkel .')	2
('45. Daumerlings Wanderschaft .', '85. Die Goldkinder .')	2
('45. Daumerlings Wanderschaft .', 'full corpus')	2
('46. Fitchers Vogel .', '58. Der Hund und der Sperling .')	2
('46. Fitchers Vogel .', '69. Jorinde und Joringel .')	2
('48. Der alte Sultan .', '49. Die sechs Schwäne .')	2
('48. Der alte Sultan .', '61. Das Bürle .')	2
('48. Der alte Sultan .', '73. Der Wolf und der Fuchs .')	2
('48. Der alte Sultan .', '74. Der Fuchs und die Frau Gevatterin .')	2
('48. Der alte Sultan .', '76. Die Nelke .')	2
('48. Der alte Sultan .', '85. Die Goldkinder .')	2
('49. Die sechs Schwäne .', '53. Sneewittchen .')	2
('49. Die sechs Schwäne .', '55. Rumpelstilzchen .')	2
('49. Die sechs Schwäne .', '57. Der goldene Vogel .')	2
('49. Die sechs Schwäne .', '63. Die drei Federn .')	2
('49. Die sechs Schwäne .', '67. Die zwölf Jäger .')	2
('49. Die sechs Schwäne .', '69. Jorinde und Joringel .')	2
('49. Die sechs Schwäne .', '73. Der Wolf und der Fuchs .')	2
('50. Dornröschen .', '52. König Drosselbart .')	2
('50. Dornröschen .', '53. Sneewittchen .')	2
('50. Dornröschen .', '57. Der goldene Vogel .')	2
('50. Dornröschen .', '67. Die zwölf Jäger .')	2
('50. Dornröschen .', '69. Jorinde und Joringel .')	2
('50. Dornröschen .', '71. Sechse kommen durch die ganze Welt .')	2
('51. Fundevogel .', '85. Die Goldkinder .')	2
('51. Fundevogel .', 'full corpus')	2
('52. König Drosselbart .', '63. Die drei Federn .')	2
('52. König Drosselbart .', '67. Die zwölf Jäger .')	2
('52. König Drosselbart .', '78. Der alte Großvater und der Enkel .')	2
('52. König Drosselbart .', '84. Hans heirathet .')	2
('54. Der Ranzen , das Hütlein und das Hörnlein .', '57. Der goldene Vogel .')	2
('54. Der Ranzen , das Hütlein und das Hörnlein .', '60. Die zwei Brüder .')	2
('54. Der Ranzen , das Hütlein und das Hörnlein .', '64. Die goldene Gans .')	2
('54. Der Ranzen , das Hütlein und das Hörnlein .', '69. Jorinde und Joringel .')	2
('54. Der Ranzen , das Hütlein und das Hörnlein .', '73. Der Wolf und der Fuchs .')	2
('55. Rumpelstilzchen .', '64. Die goldene Gans .')	2
('57. Der goldene Vogel .', '58. Der Hund und der Sperling .')	2
('57. Der goldene Vogel .', '60. Die zwei Brüder .')	2
('57. Der goldene Vogel .', '62. Die Bienenkönigin .')	2
('57. Der goldene Vogel .', '69. Jorinde und Joringel .')	2
('57. Der goldene Vogel .', '70. Die drei Glückskinder .')	2
('57. Der goldene Vogel .', '85. Die Goldkinder .')	2
('58. Der Hund und der Sperling .', '68. De Gaudeif un sien Meester .')	2
('58. Der Hund und der Sperling .', '83. Hans im Glück .')	2
('59. Der Frieder und das Catherlieschen .', 'full corpus')	2
('60. Die zwei Brüder .', '62. Die Bienenkönigin .')	2
('60. Die zwei Brüder .', '70. Die drei Glückskinder .')	2
('61. Das Bürle .', '74. Der Fuchs und die Frau Gevatterin .')	2
('62. Die Bienenkönigin .', '70. Die drei Glückskinder .')	2
('63. Die drei Federn .', '65. Allerleirauh .')	2
('64. Die goldene Gans .', '75. Der Fuchs und die Katze .')	2
('64. Die goldene Gans .', 'full corpus')	2
('65. Allerleirauh .', '67. Die zwölf Jäger .')	2
('65. Allerleirauh .', '76. Die Nelke .')	2
('65. Allerleirauh .', 'full corpus')	2
('66. Häsichenbraut .', 'full corpus')	2
('67. Die zwölf Jäger .', '71. Sechse kommen durch die ganze Welt .')	2
('67. Die zwölf Jäger .', '76. Die Nelke .')	2
('67. Die zwölf Jäger .', 'full corpus')	2
('68. De Gaudeif un sien Meester .', 'full corpus')	2
('69. Jorinde und Joringel .', '73. Der Wolf und der Fuchs .')	2
('69. Jorinde und Joringel .', '85. Die Goldkinder .')	2
('69. Jorinde und Joringel .', 'full corpus')	2
('71. Sechse kommen durch die ganze Welt .', '76. Die Nelke .')	2
('71. Sechse kommen durch die ganze Welt .', 'full corpus')	2
('73. Der Wolf und der Fuchs .', '74. Der Fuchs und die Frau Gevatterin .')	2
('73. Der Wolf und der Fuchs .', '75. Der Fuchs und die Katze .')	2
('73. Der Wolf und der Fuchs .', 'full corpus')	2
